city,stationID,stationName,aliases,translations,stationCode,longerStationCode,altCodes,priority
"Croton-Harmon, NY",,Croton-on-Hudson,,,CRT,,,0
"Carlinville, IL",,Carlinville,,,CRV,,,0
"Clemson, SC",,Clemson,,,CSN,,,0
"Crescent, OR",,Crescent,,,CSO,,,0
"Centralia, WA",,Centralia,,,CTL,,,0
"Canton, NY",,Downtown,,,CTO,,,0
"Canton, NY",,State University of New York,,,CTS,,,0
"Cumberland, MD",,Allegany College of Maryland,,,CUA,,,0
"Cumberland, MD",,Amtrak Station,,,CUM,,,0
"Cut Bank, MT",,Cut Bank,,,CUT,,,0
"Corvallis, OR",,Downtown Transit Center,,,CVI,,,0
"Cave Junction, OR",,Cave Junction,,,CVJ,,,0
"Corvallis, OR",,Oregon State University,,,CVO,,,0
"Charlottesville, VA",,Charlottesville,,,CVS,,,0
"Colchester, VT",,Colchester,,,CVT,,,0
"Cornwells Heights, PA",,Cornwells Heights,,,CWH,,,0
"Chatsworth, CA",,Chatsworth,,,CWT,,,0
"Cary, NC",,Cary,,,CYN,,,0
"Dallas, TX",,Greyhound Station,,,DAG,,,0
"Dallas, TX",,Eddie Bernice Johnson Union Sta,Union Station,,DAL,,,0
"Damariscotta, ME",,Damariscotta,,,DAM,,,0
"Danville, VA",,Danville,,,DAN,,,0
"Dayton-Trotwood, OH",,Trotwood,Trotwood,,DAT,,,0
"Davis, CA",,Davis,,,DAV,,,0
"Du Bois, PA",,Du Bois,,,DBI,,,0
"Dublin-Pleasanton, CA",,Pleasanton,Pleasanton,,DBP,,,0
"Discovery Bay, WA",,Discovery Bay,,,DBY,,,0
"Dade City, FL",,Dade City,,,DDE,,,0
"Dodge City, KS",,Dodge City,,,DDG,,,0
"Deming, NM",,Deming,,,DEM,,,0
"Denver, CO",,Union Station,Union Station,,DEN,,,0
"Dearborn, MI",,Dearborn,,,DER,,,0
"Detroit, MI",,Detroit,,,DET,,,0
"Deerfield Beach, FL",,Deerfield Beach,,,DFB,,,0
"Durham, NH",,University of New Hampshire,,,DHM,,,0
"Dillon, SC",,Dillon,,,DIL,,,0
"De Kalb Junction, NY",,De Kalb Junction,,,DKJ,,,0
"Delray Beach, FL",,Delray Beach,,,DLB,,,0
"DeLand, FL",,DeLand,,,DLD,,,0
"Detroit Lakes, MN",,Detroit Lakes,,,DLK,,,0
"Delmont, PA",,Delmont,,,DLT,,,0
"Durham, NC",,Durham,,,DNC,,,0
"Denmark, SC",,Denmark,,,DNK,,,0
"Dowagiac, MI",,Dowagiac,,,DOA,,,0
"Dover, NH",,Dover,,,DOV,,,0
"Downingtown, PA",,Downingtown,,,DOW,,,0
"Green Bay, WI",,De Pere Park and Ride,,,DPE,,,0
"Du Quoin, IL",,Du Quoin,,,DQN,,,0
"Durand, MI",,Durand,,,DRD,,,0
"Del Rio, TX",,Del Rio,,,DRT,,,0
"Drewsey, OR",,Drewsey,,,DRW,,,0
"Duluth, MN",,Transportation Center,,,DUL,,,0
"Dunsmuir, CA",,Dunsmuir,,,DUN,,,0
"Duluth, MN",,University of Minnesota,,,DUU,,,0
"Danville, IL",,Danville,,,DVI,,,0
"Devils Lake, ND",,Devils Lake,,,DVL,,,0
"Davenport, IA",,Davenport,,,DVP,,,0
